Query Text,Query Type,Search Count,Share of Searches with Interactions,Share of Searches with Interactions Items,Share of Searches with Interactions Venues,Conversion Rate,Conversion Rate Items,Conversion Rate Venues,Avg Order Venue Position,Avg Order Item Position,Share of Searches with Empty Result
hesburger,recent_searches,42,21.43%,2.38%,19.05%,7.14%,0.00%,7.14%,0.333333,0,7.14%
mangal,text,42,50.00%,0.00%,50.00%,14.29%,0.00%,14.29%,0,0,2.38%
vietnamilainen,text,42,47.62%,2.38%,47.62%,14.29%,0.00%,14.29%,3.166667,0,0.00%
kuopio,text,42,30.95%,0.00%,30.95%,0.00%,0.00%,0.00%,,,4.76%
macdonalds,text,42,42.86%,0.00%,42.86%,16.67%,0.00%,16.67%,0.142857,0,19.05%
aangan,text,42,64.29%,0.00%,64.29%,23.81%,0.00%,23.81%,0,0,2.38%
malmin,text,42,42.86%,0.00%,42.86%,14.29%,0.00%,14.29%,0.166667,0,4.76%
pizza service,text,42,45.24%,0.00%,45.24%,14.29%,0.00%,14.29%,0,0,4.76%
kung food,text,42,33.33%,2.38%,30.95%,9.52%,0.00%,9.52%,0.75,0,0.00%
brokadi,text,42,54.76%,4.76%,54.76%,23.81%,0.00%,23.81%,0,0,2.38%
noodle ,text,42,38.10%,0.00%,38.10%,9.52%,0.00%,9.52%,0.5,0,7.14%
vg wok,text,41,68.29%,2.44%,68.29%,17.07%,0.00%,17.07%,0.142857,0,4.88%
breaking bread,text,41,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,2.44%
pizza cartel,text,41,53.66%,0.00%,53.66%,17.07%,0.00%,17.07%,0.285714,0,2.44%
santa fe,text,41,58.54%,2.44%,58.54%,12.20%,0.00%,12.20%,0,0,0.00%
chocolate,text,41,41.46%,2.44%,39.02%,14.63%,0.00%,14.63%,0.5,0,2.44%
classic pizza,text,41,41.46%,0.00%,41.46%,19.51%,0.00%,19.51%,0.5,0,2.44%
bites burger,text,41,58.54%,2.44%,56.10%,9.76%,0.00%,9.76%,0,0,0.00%
kickin,text,41,63.41%,0.00%,63.41%,26.83%,0.00%,26.83%,0.090909,0,0.00%
breaking,text,40,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,2.50%
sushiba,text,40,42.50%,2.50%,40.00%,10.00%,0.00%,10.00%,0,0,0.00%
thai o,text,40,25.00%,0.00%,25.00%,10.00%,0.00%,10.00%,0,0,0.00%
wolt m,text,40,40.00%,0.00%,40.00%,10.00%,0.00%,10.00%,0,0,7.50%
