Query Text,Query Type,Search Count,Share of Searches with Interactions,Share of Searches with Interactions Items,Share of Searches with Interactions Venues,Conversion Rate,Conversion Rate Items,Conversion Rate Venues,Avg Order Venue Position,Avg Order Item Position,Share of Searches with Empty Result
seksico,text,132,71.21%,4.55%,71.21%,9.85%,0.00%,9.85%,0.769231,0,2.27%
mc don,text,132,41.67%,0.00%,41.67%,17.42%,0.00%,17.42%,0.304348,0,6.06%
k market,recent_searches,132,68.94%,0.00%,68.94%,23.48%,0.00%,23.48%,2.032258,0,7.58%
via tr,text,131,42.75%,0.76%,42.75%,17.56%,0.00%,17.56%,0.130435,0,3.82%
burrito,text,128,46.09%,3.91%,43.75%,14.06%,0.00%,14.06%,0.888889,0,1.56%
k super,text,127,48.82%,0.00%,48.82%,16.54%,0.00%,16.54%,1.52381,0,3.94%
stockmann,text,122,68.03%,0.00%,68.03%,5.74%,0.00%,5.74%,0.571429,0,3.28%
capperi,text,122,54.92%,0.00%,54.92%,14.75%,0.00%,14.75%,0.166667,0,3.28%
capris,text,121,49.59%,0.00%,49.59%,23.97%,0.00%,23.97%,0.344828,0,3.31%
noodles,text,119,46.22%,10.08%,41.18%,9.24%,2.52%,6.72%,5.090909,0.363636,0.84%
pad thai,text,119,55.46%,19.33%,42.86%,15.97%,2.52%,13.45%,0.894737,0.052632,0.84%
napoli,text,118,49.15%,0.85%,48.31%,16.95%,0.00%,16.95%,1.95,0,5.93%
mcdonald’s,text,118,39.83%,0.00%,39.83%,16.10%,0.00%,16.10%,0.210526,0,13.56%
king kebab,recent_searches,118,48.31%,1.69%,47.46%,21.19%,0.85%,20.34%,0.8,0,2.54%
pretty boy,text,116,65.52%,2.59%,64.66%,18.97%,0.00%,18.97%,0.181818,0,2.59%
hair dye,text,116,42.24%,18.97%,34.48%,5.17%,3.45%,1.72%,0.166667,0.666667,2.59%
mei lin,text,114,54.39%,0.00%,54.39%,14.91%,0.00%,14.91%,0.470588,0,3.51%
hesburger ,text,112,22.32%,0.89%,21.43%,3.57%,0.00%,3.57%,2.75,0,2.68%
daddy green,text,111,49.55%,0.00%,49.55%,14.41%,0.00%,14.41%,0.0625,0,1.80%
lie mi,recent_searches,111,50.45%,3.60%,46.85%,19.82%,0.00%,19.82%,1.909091,0,2.70%
magnum,text,110,19.09%,9.09%,10.91%,0.91%,0.00%,0.91%,1,0,0.91%
karkki,text,109,58.72%,0.92%,57.80%,14.68%,0.00%,14.68%,2.125,0,0.92%
snacky,text,109,37.61%,0.92%,36.70%,2.75%,0.00%,2.75%,0,0,1.83%
vietnam,text,108,48.15%,2.78%,48.15%,15.74%,0.00%,15.74%,2.117647,0,2.78%
pizza hut,recent_searches,107,61.68%,0.93%,60.75%,25.23%,0.00%,25.23%,1.518519,0,1.87%
bangkok,text,106,50.00%,0.00%,50.00%,15.09%,0.00%,15.09%,0.25,0,0.00%
georgian,text,104,49.04%,7.69%,44.23%,13.46%,1.92%,11.54%,0.928571,0.285714,0.00%
super bowl,text,104,58.65%,0.00%,58.65%,17.31%,0.00%,17.31%,0.611111,0,1.92%
via tribu,text,103,43.69%,0.00%,43.69%,15.53%,0.00%,15.53%,0.375,0,2.91%
bubble tea,text,103,52.43%,0.97%,52.43%,18.45%,0.00%,18.45%,3.578947,0,0.97%
fried chicken,text,102,52.94%,6.86%,51.96%,13.73%,0.98%,12.75%,3.5,0.285714,1.96%
manala,text,102,59.80%,0.98%,58.82%,28.43%,0.98%,27.45%,0,0.137931,0.98%
indian,text,102,44.12%,2.94%,43.14%,11.76%,0.00%,11.76%,4.083333,0,0.98%
picnic,recent_searches,101,56.44%,0.99%,55.45%,22.77%,0.99%,21.78%,3.913043,0,2.97%
everest,text,101,51.49%,0.99%,50.50%,24.75%,0.00%,24.75%,0.4,0,3.96%
subway ,text,99,60.61%,1.01%,59.60%,23.23%,0.00%,23.23%,0.434783,0,7.07%
butter chicken,text,99,45.45%,28.28%,25.25%,16.16%,10.10%,6.06%,2.125,1.6875,4.04%
just vege,text,98,62.24%,1.02%,61.22%,25.51%,0.00%,25.51%,0.16,0,5.10%
hanko sushi,text,98,47.96%,0.00%,47.96%,23.47%,0.00%,23.47%,0.173913,0,1.02%
thai vegan,text,97,58.76%,0.00%,58.76%,19.59%,0.00%,19.59%,1.526316,0,0.00%
faselli,text,97,64.95%,2.06%,63.92%,11.34%,1.03%,10.31%,0,0,1.03%
k-supermarket,text,97,59.79%,1.03%,58.76%,18.56%,0.00%,18.56%,1.055556,0,2.06%
pharmacy,tag,97,47.42%,5.15%,42.27%,5.15%,0.00%,5.15%,0.2,0,0.00%
naughty burger,text,96,39.58%,3.13%,37.50%,10.42%,0.00%,10.42%,0.6,0,3.13%
burger kin,text,96,35.42%,0.00%,35.42%,11.46%,0.00%,11.46%,0.636364,0,6.25%
dif döner,text,96,60.42%,3.13%,58.33%,9.38%,0.00%,9.38%,0.111111,0,4.17%
classic,text,95,45.26%,0.00%,45.26%,20.00%,0.00%,20.00%,0.315789,0,1.05%
bärbar,text,95,60.00%,1.05%,60.00%,24.21%,0.00%,24.21%,0.869565,0,4.21%
sizzle,text,94,61.70%,0.00%,61.70%,23.40%,0.00%,23.40%,0.409091,0,2.13%
mc donal,text,94,32.98%,0.00%,32.98%,15.96%,0.00%,15.96%,0.066667,0,7.45%
banh mi,text,92,60.87%,13.04%,53.26%,20.65%,1.09%,19.57%,0.631579,0.157895,2.17%
mc dona,text,91,37.36%,0.00%,37.36%,14.29%,0.00%,14.29%,0.153846,0,7.69%
olivia,text,91,48.35%,1.10%,47.25%,17.58%,1.10%,16.48%,0.0625,0.125,5.49%
pharmacy,recent_searches,91,57.14%,1.10%,56.04%,9.89%,0.00%,9.89%,1.1,0,3.30%
relove,text,90,68.89%,2.22%,66.67%,12.22%,0.00%,12.22%,0.181818,0,1.11%
bonbon,text,90,23.33%,1.11%,22.22%,1.11%,0.00%,1.11%,0,0,2.22%
salmon soup,text,90,52.22%,22.22%,42.22%,20.00%,11.11%,8.89%,2.944444,1.777778,2.22%
falafel,text,89,44.94%,4.49%,42.70%,11.24%,0.00%,11.24%,10.2,0,0.00%
la torre,text,89,62.92%,2.25%,60.67%,17.98%,0.00%,17.98%,1.3125,0,0.00%
kotkot,recent_searches,89,50.56%,1.12%,49.44%,13.48%,0.00%,13.48%,0.166667,0,0.00%
bakery,text,88,52.27%,2.27%,52.27%,15.91%,0.00%,15.91%,5.285714,0,1.14%
makalu,text,88,61.36%,0.00%,61.36%,19.32%,0.00%,19.32%,0,0,5.68%
healthy,text,87,45.98%,4.60%,44.83%,5.75%,1.15%,4.60%,1,1.6,0.00%
ekberg,text,87,62.07%,0.00%,62.07%,16.09%,0.00%,16.09%,0,0,1.15%
eerikin,text,86,44.19%,0.00%,44.19%,15.12%,0.00%,15.12%,0,0,2.33%
burger com,text,86,54.65%,2.33%,53.49%,13.95%,0.00%,13.95%,2.083333,0,1.16%
limone,text,86,60.47%,0.00%,60.47%,20.93%,0.00%,20.93%,0.055556,0,1.16%
store,text,85,42.35%,0.00%,42.35%,11.76%,0.00%,11.76%,4.3,0,4.71%
daddy gree,text,85,37.65%,1.18%,37.65%,5.88%,0.00%,5.88%,0.6,0,1.18%
burger ki,text,84,44.05%,1.19%,44.05%,14.29%,0.00%,14.29%,0.416667,0,1.19%
mcdonald's ,text,84,64.29%,0.00%,64.29%,19.05%,0.00%,19.05%,0.125,0,11.90%
jungle juice,text,83,44.58%,4.82%,42.17%,20.48%,0.00%,20.48%,0.941176,0,1.20%
inters,text,83,24.10%,4.82%,19.28%,0.00%,0.00%,0.00%,,,8.43%
minato,text,83,48.19%,0.00%,48.19%,12.05%,0.00%,12.05%,0,0,2.41%
burger ,text,83,36.14%,1.20%,34.94%,13.25%,0.00%,13.25%,0.545455,0,20.48%
korona,text,82,40.24%,28.05%,15.85%,18.29%,9.76%,8.54%,0.133333,0,6.10%
mc donalds,recent_searches,82,53.66%,0.00%,53.66%,18.29%,0.00%,18.29%,0.066667,0,0.00%
fat lizard,text,81,65.43%,3.70%,64.20%,12.35%,0.00%,12.35%,0,0,3.70%
vietnamese,text,81,56.79%,6.17%,55.56%,17.28%,0.00%,17.28%,2.928571,0,2.47%
vibami,text,81,66.67%,0.00%,66.67%,18.52%,0.00%,18.52%,0,0,0.00%
long wall,text,81,54.32%,2.47%,54.32%,20.99%,0.00%,20.99%,0,0,2.47%
street,text,80,42.50%,0.00%,42.50%,17.50%,0.00%,17.50%,1.214286,0,1.25%
dessert,text,80,50.00%,8.75%,46.25%,6.25%,0.00%,6.25%,4.2,0,1.25%
hesburg,text,80,3.75%,0.00%,3.75%,0.00%,0.00%,0.00%,,,1.25%
roberts,text,80,60.00%,1.25%,60.00%,10.00%,0.00%,10.00%,0.5,0,1.25%
mr lau,text,79,64.56%,1.27%,63.29%,29.11%,0.00%,29.11%,0,0,1.27%
deliberi,text,79,70.89%,1.27%,69.62%,16.46%,0.00%,16.46%,0.153846,0,1.27%
tuktuk,text,78,66.67%,0.00%,66.67%,17.95%,0.00%,17.95%,0,0,0.00%
bubble,text,78,52.56%,3.85%,48.72%,8.97%,1.28%,7.69%,0.714286,0,0.00%
glutenfree,text,78,46.15%,10.26%,37.18%,5.13%,0.00%,5.13%,8.75,0,1.28%
villa nepal,text,78,57.69%,0.00%,57.69%,16.67%,0.00%,16.67%,0.230769,0,2.56%
thai orchid,text,78,43.59%,0.00%,43.59%,1.28%,0.00%,1.28%,0,0,2.56%
friends and,text,77,25.97%,0.00%,25.97%,5.19%,0.00%,5.19%,0,0,1.30%
sexico,text,77,57.14%,0.00%,57.14%,25.97%,0.00%,25.97%,0,0,11.69%
brunssi,text,77,55.84%,23.38%,42.86%,11.69%,3.90%,7.79%,3.777778,1.888889,0.00%
friends ,text,77,45.45%,1.30%,45.45%,6.49%,0.00%,6.49%,0,0,3.90%
king k,text,77,24.68%,1.30%,23.38%,11.69%,0.00%,11.69%,2.111111,0,2.60%
donut,text,76,40.79%,3.95%,38.16%,15.79%,1.32%,14.47%,2.666667,0.166667,5.26%
big bowl,text,76,42.11%,2.63%,42.11%,6.58%,0.00%,6.58%,0.8,0,2.63%
better,text,76,36.84%,1.32%,35.53%,11.84%,1.32%,10.53%,0.777778,0,1.32%
espresso,recent_searches,74,58.11%,4.05%,56.76%,18.92%,0.00%,18.92%,0.785714,0,1.35%
mc donald,text,74,40.54%,0.00%,40.54%,13.51%,0.00%,13.51%,0.7,0,6.76%
burger comp,text,74,60.81%,1.35%,59.46%,9.46%,0.00%,9.46%,0.142857,0,5.41%
k-super,text,74,32.43%,0.00%,32.43%,9.46%,0.00%,9.46%,2.571429,0,2.70%
hamburger,text,73,45.21%,1.37%,43.84%,13.70%,0.00%,13.70%,6.3,0,2.74%
mexican,text,73,50.68%,1.37%,49.32%,16.44%,0.00%,16.44%,3.583333,0,1.37%
alfons,text,73,72.60%,0.00%,72.60%,13.70%,0.00%,13.70%,0,0,1.37%
pontus,text,73,61.64%,0.00%,61.64%,17.81%,0.00%,17.81%,0,0,2.74%
teemu aura,text,73,65.75%,5.48%,61.64%,17.81%,0.00%,17.81%,0.153846,0,0.00%
desert,text,73,32.88%,4.11%,30.14%,6.85%,1.37%,5.48%,9.8,0.8,0.00%
pizza ,text,73,23.29%,1.37%,23.29%,2.74%,0.00%,2.74%,1,0,9.59%
tandoori villa,text,73,53.42%,1.37%,53.42%,19.18%,0.00%,19.18%,0.142857,0,4.11%
espresso house,recent_searches,73,78.08%,1.37%,78.08%,13.70%,0.00%,13.70%,0.7,0,0.00%
pharma,text,72,40.28%,0.00%,40.28%,5.56%,0.00%,5.56%,0,0,4.17%
flowers,text,72,41.67%,5.56%,40.28%,18.06%,1.39%,16.67%,2.615385,0.076923,1.39%
sunkosi,text,72,69.44%,2.78%,68.06%,25.00%,0.00%,25.00%,0,0,1.39%
arnolds,recent_searches,72,55.56%,0.00%,55.56%,15.28%,0.00%,15.28%,0,0,1.39%
naught,text,72,54.17%,1.39%,52.78%,9.72%,0.00%,9.72%,0.25,0,0.00%
onigiri,text,72,48.61%,12.50%,40.28%,2.78%,1.39%,1.39%,0,0,1.39%
tribunali,text,72,55.56%,2.78%,54.17%,23.61%,0.00%,23.61%,0.117647,0,1.39%
friends,recent_searches,71,69.01%,1.41%,67.61%,19.72%,0.00%,19.72%,0.857143,0,4.23%
green hippo,recent_searches,71,64.79%,4.23%,63.38%,21.13%,1.41%,19.72%,0.666667,0,2.82%
uyghur,text,71,54.93%,5.63%,53.52%,1.41%,0.00%,1.41%,0,0,2.82%
pancho villa,text,71,67.61%,2.82%,64.79%,14.08%,0.00%,14.08%,0.1,0,9.86%
restaurant,text,70,10.00%,1.43%,8.57%,1.43%,0.00%,1.43%,0,0,2.86%
biryani,text,70,44.29%,25.71%,28.57%,12.86%,7.14%,5.71%,1.111111,1,0.00%
taco b,text,69,30.43%,0.00%,30.43%,18.84%,0.00%,18.84%,0.307692,0,4.35%
gift card,text,69,60.87%,2.90%,57.97%,44.93%,0.00%,44.93%,0.064516,0,7.25%
kallio,text,68,38.24%,0.00%,38.24%,16.18%,0.00%,16.18%,3.454545,0,1.47%
pizzeria,text,68,25.00%,1.47%,23.53%,8.82%,0.00%,8.82%,0.666667,0,2.94%
fried rice,text,68,54.41%,17.65%,39.71%,14.71%,4.41%,10.29%,2.6,0.2,1.47%
supermarket,text,68,64.71%,0.00%,64.71%,22.06%,0.00%,22.06%,2.266667,0,1.47%
sausage,text,68,26.47%,26.47%,1.47%,5.88%,5.88%,0.00%,0,1.5,2.94%
tortill,text,68,36.76%,1.47%,35.29%,22.06%,1.47%,20.59%,0.466667,0.133333,0.00%
dumpling,text,68,55.88%,11.76%,50.00%,8.82%,2.94%,5.88%,0.5,1.833333,2.94%
pizza hu,text,68,38.24%,1.47%,36.76%,8.82%,0.00%,8.82%,0,0,4.41%
plants,text,68,39.71%,0.00%,39.71%,19.12%,0.00%,19.12%,0,0,1.47%
kampai,text,67,61.19%,1.49%,59.70%,19.40%,0.00%,19.40%,3.384615,0,1.49%
flowers,tag,67,59.70%,7.46%,56.72%,10.45%,0.00%,10.45%,5.142857,0,2.99%
sandwich,text,67,50.75%,4.48%,46.27%,8.96%,0.00%,8.96%,5.333333,0,0.00%
sivuraide,text,67,62.69%,0.00%,62.69%,14.93%,0.00%,14.93%,0,0,4.48%
fazer cafe,text,66,54.55%,3.03%,53.03%,9.09%,0.00%,9.09%,0.333333,0,0.00%
waffle,text,66,54.55%,9.09%,51.52%,10.61%,0.00%,10.61%,1.428571,0,0.00%
taco be,text,66,27.27%,0.00%,27.27%,9.09%,0.00%,9.09%,0,0,3.03%
cheese,text,66,15.15%,3.03%,13.64%,3.03%,0.00%,3.03%,0,0,6.06%
joe and,text,66,43.94%,0.00%,43.94%,9.09%,0.00%,9.09%,2.166667,0,6.06%
siipiw,text,65,38.46%,1.54%,38.46%,10.77%,1.54%,9.23%,0.857143,0,4.62%
eatpoke,text,65,67.69%,0.00%,67.69%,20.00%,0.00%,20.00%,0.307692,0,3.08%
boneles,text,65,40.00%,0.00%,40.00%,15.38%,0.00%,15.38%,1.1,0,3.08%
noodle,recent_searches,64,54.69%,1.56%,54.69%,15.63%,0.00%,15.63%,1.9,0,0.00%
vietna,text,64,21.88%,3.13%,20.31%,10.94%,0.00%,10.94%,2.428571,0,3.13%
tuk tuk,text,64,48.44%,0.00%,48.44%,20.31%,0.00%,20.31%,0,0,1.56%
king keb,text,63,34.92%,1.59%,34.92%,19.05%,0.00%,19.05%,0.25,0,3.17%
presto,text,63,76.19%,1.59%,76.19%,12.70%,0.00%,12.70%,0.125,0,1.59%
clas oh,text,63,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,1.59%
via trib,text,63,52.38%,0.00%,52.38%,23.81%,0.00%,23.81%,0.125,0,1.59%
charger,text,63,47.62%,12.70%,41.27%,9.52%,3.17%,7.94%,0.142857,1.428571,0.00%
friends and burgers,text,63,46.03%,1.59%,46.03%,11.11%,0.00%,11.11%,0,0,1.59%
mcdonals,text,62,38.71%,0.00%,38.71%,16.13%,0.00%,16.13%,0.2,0,20.97%
ren he,text,62,46.77%,1.61%,45.16%,27.42%,1.61%,25.81%,0,0.058824,0.00%
clas ohlson,text,62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,100.00%
mantra,text,62,56.45%,1.61%,56.45%,22.58%,0.00%,22.58%,0,0,0.00%
chitir,recent_searches,62,51.61%,0.00%,51.61%,17.74%,0.00%,17.74%,0.727273,0,4.84%
mcdonald,recent_searches,61,55.74%,1.64%,55.74%,19.67%,0.00%,19.67%,0.083333,0,4.92%
mountain,text,61,40.98%,0.00%,40.98%,21.31%,0.00%,21.31%,0,0,0.00%
donut,text,61,67.21%,11.48%,63.93%,9.84%,0.00%,9.84%,4,0,0.00%
shanghai,text,61,32.79%,13.11%,22.95%,13.11%,4.92%,8.20%,0.125,0.625,0.00%
wolt ma,text,61,34.43%,0.00%,34.43%,13.11%,0.00%,13.11%,0.125,0,6.56%
cafe bar,text,60,51.67%,0.00%,51.67%,16.67%,0.00%,16.67%,0.3,0,3.33%
clas ohl,text,59,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,100.00%
huippu,text,59,64.41%,0.00%,64.41%,5.08%,0.00%,5.08%,0,0,1.69%
noodle s,text,59,35.59%,1.69%,35.59%,23.73%,0.00%,23.73%,0,0,1.69%
wings,text,59,37.29%,6.78%,33.90%,13.56%,1.69%,11.86%,3.375,0.375,1.69%
brunch,text,59,44.07%,10.17%,42.37%,13.56%,3.39%,10.17%,1.25,1.875,0.00%
koti pizza,text,59,8.47%,0.00%,8.47%,0.00%,0.00%,0.00%,,,0.00%
shawarma,text,58,55.17%,13.79%,51.72%,5.17%,1.72%,3.45%,1.666667,1.333333,1.72%
starbucks,recent_searches,58,77.59%,1.72%,77.59%,5.17%,0.00%,5.17%,0.666667,0,5.17%
lasagne,text,57,47.37%,8.77%,42.11%,10.53%,3.51%,7.02%,0.5,0.166667,0.00%
pizza ex,text,57,47.37%,3.51%,45.61%,15.79%,0.00%,15.79%,0.555556,0,5.26%
sherpa,text,57,63.16%,1.75%,63.16%,15.79%,1.75%,14.04%,0,0,10.53%
s market,text,57,38.60%,1.75%,36.84%,3.51%,0.00%,3.51%,0,0,1.75%
golden,text,57,40.35%,1.75%,38.60%,12.28%,0.00%,12.28%,0,0,5.26%
mcdonald's,text,57,36.84%,0.00%,36.84%,7.02%,0.00%,7.02%,0.25,0,7.02%
king keba,text,56,28.57%,0.00%,28.57%,12.50%,0.00%,12.50%,0.428571,0,1.79%
k mark,text,56,44.64%,0.00%,44.64%,16.07%,0.00%,16.07%,3.222222,0,8.93%
butter,text,56,17.86%,7.14%,12.50%,3.57%,1.79%,1.79%,0,0.5,3.57%
green hi,text,56,30.36%,1.79%,30.36%,10.71%,0.00%,10.71%,0.166667,0,1.79%
social burger,text,56,55.36%,1.79%,53.57%,8.93%,0.00%,8.93%,0,0,3.57%
vallila food,text,56,58.93%,0.00%,58.93%,14.29%,0.00%,14.29%,0.25,0,1.79%
bamilami,text,56,76.79%,0.00%,76.79%,1.79%,0.00%,1.79%,0,0,1.79%
rinkula,text,55,61.82%,1.82%,60.00%,9.09%,0.00%,9.09%,0,0,0.00%
georgia,text,55,40.00%,5.45%,36.36%,9.09%,0.00%,9.09%,0,0,0.00%
yeastie,text,55,67.27%,1.82%,67.27%,5.45%,0.00%,5.45%,0,0,0.00%
robert,text,54,48.15%,1.85%,48.15%,7.41%,0.00%,7.41%,1,0,0.00%
kimchi,text,54,51.85%,16.67%,44.44%,12.96%,5.56%,7.41%,1.428571,4.857143,3.70%
chinese,recent_searches,54,57.41%,3.70%,55.56%,22.22%,1.85%,20.37%,4.333333,0.083333,3.70%
mustapekka,text,54,64.81%,0.00%,64.81%,12.96%,0.00%,12.96%,0,0,5.56%
interspo,text,54,18.52%,3.70%,14.81%,1.85%,0.00%,1.85%,0,0,9.26%
home food,text,54,46.30%,0.00%,46.30%,5.56%,0.00%,5.56%,9.333333,0,5.56%
bastar,text,53,41.51%,0.00%,41.51%,15.09%,0.00%,15.09%,0,0,3.77%
verkkokau,text,53,1.89%,0.00%,1.89%,0.00%,0.00%,0.00%,,,7.55%
apollo,text,53,50.94%,0.00%,50.94%,16.98%,0.00%,16.98%,0,0,0.00%
thai or,text,53,35.85%,1.89%,35.85%,5.66%,1.89%,3.77%,0.666667,0,0.00%
italian,text,52,48.08%,3.85%,48.08%,7.69%,0.00%,7.69%,8.5,0,0.00%
finnkino,text,52,69.23%,1.92%,69.23%,15.38%,0.00%,15.38%,0,0,3.85%
kamppi,text,52,38.46%,0.00%,38.46%,9.62%,0.00%,9.62%,2.8,0,3.85%
kanniston,text,52,51.92%,3.85%,50.00%,5.77%,1.92%,3.85%,0,0,5.77%
hanko asia,text,52,46.15%,0.00%,46.15%,19.23%,0.00%,19.23%,0.2,0,5.77%
phad thai,text,52,50.00%,15.38%,40.38%,21.15%,11.54%,9.62%,0.454545,1.363636,0.00%
kotipizz,text,52,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,15.38%
eat po,text,52,40.38%,0.00%,40.38%,17.31%,0.00%,17.31%,0,0,0.00%
verkkokauppa.com,text,52,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,100.00%
jumbowl,text,51,78.43%,0.00%,78.43%,11.76%,0.00%,11.76%,0.166667,0,5.88%
twisted,text,51,45.10%,0.00%,45.10%,13.73%,0.00%,13.73%,0,0,1.96%
chicken join,text,51,43.14%,0.00%,43.14%,17.65%,0.00%,17.65%,0,0,3.92%
poke amigos,text,50,48.00%,0.00%,48.00%,24.00%,0.00%,24.00%,0.25,0,4.00%
